Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Town/City,County,State,Latitude,Longitude,Fieldworker,Year interviewed,Notes,Formatted_Informant,Target: attic,Target comments
IL27A,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,Livingston,Pontiac,IL,40.8809,-88.6298,"Shuy, Roger",1960,"also, 100b.1; Aux. inf.: wife",IL027A,attic,
IL27B,LANCS,Female,ca. 65,White,At least some high school,Keeping house,Livingston,Pontiac,IL,40.8809,-88.6298,"Shuy, Roger",1960,"aux. inf.: husband, former farmer and factory worker; incomplete record",IL027B,attic,
IL28A,LANCS,Male,63,White,Between 1 and 8 yrs.,Farmer,Kankakee,Kankakee,IL,41.12,-87.8612,"Motherwell, George",1953,"also, 100.11",IL028A,attic,
IL28B,LANCS,Male,71,White,At least some college or beyond,Teacher,Kankakee,St. Anne,IL,41.023,-87.7182,"McDavid, Raven",1950,"also, 100.2; ""confusion of French, Canadian, and English""; incomplete record",IL028B,"attic, c. the attic",
IL29A,LANCS,Male,76,White,At least some high school,Farmer,Iroquois,Watseka,IL,40.7761,-87.7364,"Allen, Harold",1939,"also, 100a.1",IL029A,cv. garret,
IL29B,LANCS,Male,52,White,At least some high school,Clerical and sales,Iroquois,Gilman,IL,40.7667,-87.9923,"Shuy, Roger",1962,"also, 100a.2; circuit court clerk, recorder of deeds",IL029B,attic,
IL30A,LANCS,Male,84,White,At least some high school,Farmer,Hancock,Nauvoo,IL,40.55,-91.3849,"McDavid, Raven",1950,"also, 101.1",IL030A,attic,stairway
IL30B,LANCS,Male,70,White,Between 1 and 8 yrs.,Farmer,Hancock,Nauvoo,IL,40.55,-91.3849,"McDavid, Raven",1950,"also, 101.2; aux. inf.: wife",IL030B,"loft, an attic",loft -- upstair; attic -- above bedroom
IL31A,LANCS,Female,73,White,At least some high school,Keeping house,McDonough,Bushnell,IL,40.5528,-90.5062,"McDavid, Raven",1950,"also, 102.1; aux. inf.: farmer, 73",IL031A,the attic,nothing used
IL31B,LANCS,Male,44,White,At least some college or beyond,Service worker,McDonough,Tennessee,IL,40.412,-90.8393,"McDavid, Raven",1950,"also, 102.2; barber",IL031B,attic,
IL32,LANCS,Male,69,White,At least some high school,Farmer,Fulton,Canton,IL,40.5581,-90.0351,"Shuy, Roger",1960,"also, 102a.1",IL032,"attic, garret",garret -- older
IL33A,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,Tazewell,Delavan,IL,40.3725,-89.5473,"Allen, Harold",1939,"also, 103.1; also, bank clerk, carpenter",IL033A,attic,
IL33B,LANCS,Male,66,White,At least some high school,Farmer,Tazewell,Sand Prairie,IL,40.2604,-89.3927,"McDavid, Raven",1950,"also, 103.2; aux. inf.: wife",IL033B,the attic,not floored
IL34,LANCS,Female,85,White,Between 1 and 8 yrs.,Keeping house,McLean,Lexington,IL,40.6414,-88.7834,"Shuy, Roger",1960,"also, 103b.a",IL034,attic,
IL35,LANCS,Male,71,White,At least some college or beyond,Farmer,Ford,Drummer,IL,40.2752,-88.2416,"Shuy, Roger",1962,"also, 106a.2; aux. inf.: wife, present throughout int., supplied a few responses",IL035,attic,
IL36A,LANCS,Female,51,White,At least some college or beyond,Keeping house,Champaign,Champaign,IL,40.1164,-88.2434,"McDavid, Raven",1950,"also, 106.2; occ. Listed as ""house mother"" w/o explanation",IL036A,attic,cellar
IL36B,LANCS,Female,25,White,At least some college or beyond,Clerical and sales,Champaign,Champaign,IL,40.1164,-88.2434,"McDavid, Raven",1950,"also, 106.3; stenographer",IL036B,the attic,
IL37A,LANCS,Male,91,White,Between 1 and 8 yrs.,Farmer,Brown,Mount Sterling,IL,39.9873,-90.7635,"McDavid, Raven",1950,"also, 104.1",IL037A,attic,
IL37B,LANCS,Male,43,White,At least some high school,Farmer,Brown,Mount Sterling,IL,39.9873,-90.7635,"McDavid, Raven",1950,"also, 104.2",IL037B,attic,
IL38A,LANCS,Male,86,White,Between 1 and 8 yrs.,Farmer,Cass,Beardstown,IL,40.0175,-90.4243,"McDavid, Raven",1950,"also, 105.1",IL038A,"c. a garret, c. attic",
IL38B,LANCS,Female,65,White,At least some college or beyond,Teacher,Cass,Beardstown,IL,40.0175,-90.4243,"McDavid, Raven",1950,"also, 105.2; music teacher",IL038B,"garret, attic",attic -- step ladder
IL39A,LANCS,Female,81,White,Between 1 and 8 yrs.,Keeping house,Sangamon,Auburn,IL,39.5917,-89.7465,"Allen, Harold",1939,"also, 107.1",IL039A,attic,
IL39B,LANCS,Male,70,White,Between 1 and 8 yrs.,Operative,Sangamon,Springfield,IL,38.7817,-89.6501,"Shuy, Roger",1960,"also, 107.11; electric co. assembly line worker",IL039B,"attic, garret",
IL39C,LANCS,Female,60,White,At least some college or beyond,Teacher,Sangamon,Springfield,IL,38.7817,-89.6501,"Shuy, Roger",1960,"also, 107.3; elementary teacher",IL039C,attic,
IL40,LANCS,Male,97,White,Between 1 and 8 yrs.,Farmer,Christian,Stonington,IL,39.64,-89.1929,"Shuy, Roger",1960,"also, 107a.1; numerous folk grammar forms",IL040,attic,don't call to mind
IL41A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,Moultrie,Sullivan,IL,39.3554,-88.3636,"Shuy, Roger",1962,"also, 107b.1",IL041A,attic,
IL41B,LANCS,Female,71,White,At least some college or beyond,Keeping house,Moultrie,East Nelson,IL,39.3358,-88.3203,"Shuy, Roger",1962,"also, 107b.2",IL041B,attic,
IL42A,LANCS,Male,80,White, At least some high school,Farmer,Edgar,Paris,IL,39.6111,-87.6961,"Allen, Harold",1939,"also, 108.1; also, merchant",IL042A,attic,
IL42B,LANCS,Male,60,White,At least some high school,Farmer,Edgar,Paris,IL,39.6111,-87.6961,"Motherwell, George",1953,"also, 108.2",IL042B,attic,
IL43A,LANCS,Male,67,White,Between 1 and 8 yrs.,Farmer,Calhoun,Kampsville,IL,39.2978,-90.609,"McDavid, Raven",1950,"also, 109.1",IL043A,attic,rough place
IL43B,LANCS,Male,74,White,Between 1 and 8 yrs.,Farmer,Calhoun,Hardin ,IL,39.1567,-90.6179,"Allen, Harold",1939,"also, 109.11; county has abolished townships",IL043B,garret,
IL43C,LANCS,Male,72,White,At least some high school,Farmer,Calhoun,Hardin ,IL,39.1567,-90.6179,"McDavid, Raven",1950,"also, 109.2; 3 yrs. Manual training, 1 yr. bus. Coll.",IL043C,c. attics,c. attics
IL44A,LANCS,Male,84,White,Between 1 and 8 yrs.,Farmer,Madison,Edwardsville,IL,38.8114,-89.9532,"McDavid, Raven",1950,"also, 112.1",IL044A,c. attic,
IL44B,LANCS,Male,75,White,At least some college or beyond,Unknown,Madison,Alton,IL,38.8906,-90.1843,"McDavid, Raven",1950,"also, 112.2",IL044B,"third floor, attic",
IL45A,LANCS,Male,71,White,Between 1 and 8 yrs.,Farmer,Montgomery,Witt,IL,39.1516,-89.214,"Shuy, Roger",1960,"also, 110a.1; aux. inf. Wife, present during interview, supplied some responses",IL045A,upstairs,
IL45B,LANCS,Female,78,White,At least some high school,"Manager, official, or proprietor",Montgomery,Nokomis,IL,39.3012,-89.2851,"Shuy, Roger",1960,"also, 110a.2; city editor of local newspaper",IL045B,attic,
IL46A,LANCS,Male,77,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Fayette,Pinhook,IL,38.9116,-89.0332,"McDavid, Raven",1950,"also, 110.1; road commissioner, farmer",IL046A,"attic, loft","1"" x 12"" walnut"
IL46B,LANCS,Male,63,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Fayette,Vandalia,IL,38.9606,-89.0937,"McDavid, Raven",1950,"also, 110.11; bank merchant; incomplete record",IL046B,NR,c.
IL46C,LANCS,Male,70,White,Unknown,Craftsman or foreman,Fayette,Vandalia,IL,38.9606,-89.0937,"McDavid, Raven",1950,"also, 110.12; blacksmith; incomplete record",IL046C,"upstairs, the loft",loft -- unfinished
IL46D,LANCS,Male,88,White,At least some high school,Operative,Fayette,Vandalia,IL,38.9606,-89.0937,"McDavid, Raven",1950,"also, 110.2; roofing plant worker",IL046D,the attic,not in old house
IL47A,LANCS,Male,89,White,At least some high school,Clerical and sales,Jasper,Newton,IL,38.9909,-88.1625,"McDavid, Raven",1950,"also, 111.1; apple dealer, county school super., circuit clerk, treasurer",IL047A,attic,
IL47B,LANCS,Female,69,White,At least some high school,Keeping house,Jasper,Newton,IL,38.9909,-88.1625,"McDavid, Raven",1950,"also, 111.2",IL047B,attic,
IL48A,LANCS,Male,75,White,At least some high school,"Manager, official, or proprietor",Marion,Salem,IL,38.627,-88.9456,"McDavid, Raven",1950,"also, 113.1; storekeeper, twp. Super.; overcorrectness",IL048A,attics,
IL48B,LANCS,Female,67,White,At least some college or beyond,Unknown,Marion,Alma,IL,38.7217,-88.9092,"McDavid, Raven",1950,"also, 113.2; widow; overcorrectness",IL048B,"third story, an attic",
IL49A,LANCS,Male,73,White,Between 1 and 8 yrs.,Farmer,Wayne,Wayne City,IL,38.3453,-88.5878,"McDavid, Raven",1950,"also, 114.1; Aux. inf.: wife",IL049A,"the loft, attic",
IL49B,LANCS,Male,66,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Hamilton,McLeansboro,IL,38.0934,-88.5356,"McDavid, Raven",1950,"also, 118.2; feed merchant, auto dealer, farmer",IL049B,an attic,
IL50A,LANCS,Female,86,White,Between 1 and 8 yrs.,Keeping house,Edwards,Albion,IL,38.3775,-88.0561,"Allen, Harold",1939,"also, 115.1",IL050A,garret,
IL50B,LANCS,Male,81,White,At least some high school,"Manager, official, or proprietor",Edwards,Albion,IL,38.3775,-88.0561,"McDavid, Raven",1950,"also, 115.2; storekeeper",IL050B,attics,
IL50C,LANCS,Female,59,White,At least some college or beyond,Teacher,Edwards,Albion,IL,38.3775,-88.0561,"Bender, Byron",1952,"also, 115.3; also, postmaster, store clerk; grade school and collegiate institute, 1 yr.",IL050C,attic,
IL51A,LANCS,Male,83,White,Between 1 and 8 yrs.,Operative,Monroe,Waterloo,IL,38.3359,-90.1498,"McDavid, Raven",1950,"also, 116.1; taxi driver, farmer",IL051A,"a garret, garret",
IL51B,LANCS,Female,75,White,At least some high school,Teacher,Monroe,Waterloo,IL,38.3359,-90.1498,"McDavid, Raven",1950,"also, 116.2; dancing teacher",IL051B,attic,curve in house
IL52A,LANCS,Female,78,White,Between 1 and 8 yrs.,Keeping house,Randolph,Red Bud,IL,38.2117,-89.9943,"Shuy, Roger",1962,"also, 116a.1",IL052A,attic,
IL52B,LANCS,Female,67,White,At least some high school,Keeping house,Randolph,Red Bud,IL,38.2117,-89.9943,"Shuy, Roger",1962,"also, 116a.2; dressmaker",IL052B,NR,
IL53A,LANCS,Male,86,White,At least some college or beyond,Farmer,Jackson,Cora,IL,37.7321,-89.4532,"Allen, Harold",1939,"also, 117.1",IL053A,garret,
IL53B,LANCS,Male,44,White,At least some high school,Farmer,Jackson,Murphysboro,IL,37.7645,-89.3351,"McDavid, Raven",1950,"also, 117.2",IL053B,attic,
IL54,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,Williamson,Herrin,IL,37.8031,-89.0276,"Garbutt, Cameron",1954,"also, 117a.1; also, carpenter",IL054,attic,
IL55A,LANCS,Female,68,White,At least some high school,Unknown,Gallatin,Shawneetown,IL,37.4253,-88.11,"McDavid, Raven",1950,"also, 119.1; some overcorrections",IL055A,c. the attic,
IL55B,LANCS,Female,88,White,Unknown,Keeping house,Gallatin,Shawneetown ,IL,37.4253,-88.11,"McDavid, Raven",1950,"also, 119.11; incomplete record; Old Town?",IL055B,attic,
IL55C,LANCS,Female,51,White,Between 1 and 8 yrs.,Keeping house,Gallatin,Shawneetown,IL,37.4253,-88.11,"McDavid, Raven",1950,"also, 119.2; Gold Hill Township?",IL055C,"the garret, attic",
IL56A,LANCS,Male,81,White,Between 1 and 8 yrs.,Farmer,Alexander,Thebes,IL,37.2209,-89.4609,"McDavid, Raven",1950,"also, 120.1; aux. inf.: wife",IL056A,attic,
IL56B,LANCS,Male,52,White,At least some high school,Farmer,Pulaski,Villa Ridge,IL,37.1587,-89.1948,"McDavid, Raven",1950,"also, 120.2",IL056B,attic,
IL57,LANCS,Male,75,White,Between 1 and 8 yrs.,Other,Massac,Metropolis,IL,37.1512,-88.732,"Garbutt, Cameron",1950,"also, 120a.11; undertaker, lumber buyer; many folk grammar terms; aux. inf.: widow and f. schoolteacher, 86",IL057,NR,
IL58A,LANCS,Male,79,White,Between 1 and 8 yrs.,Farmer,Pope,Golconda,IL,37.215,-88.2912,"Allen, Harold",1939,"also, 121.1; many folk forms",IL058A,garret,
IL58B,LANCS,Female,71,White,At least some college or beyond,Keeping house,Pope,Golconda,IL,37.215,-88.2912,"McDavid, Raven",1950,"also, 121.2",IL058B,attic,
IL58C,LANCS,Male,33,White,At least some college or beyond,Teacher,Pope,Golconda,IL,37.215,-88.2912,"McDavid, Raven",1950,"also, 121.3; teacher of vocational agriculture to veterans",IL058C,the attic,
IN1A,LANCS,Male,66,White,Between 1 and 8 yrs.,Operative,Porter,Morgan,IN,41.3823,-87.0024,"Bender, Byron",1951,"also, 131.1; railroad worker",IN001A,attic,
IN1B,LANCS,Female,60,White,At least some high school,Keeping house,Porter,Morgan,IN,41.3823,-87.0024,"McDavid, Raven",1950,"also, 131.2",IN001B,attic,not in home
IN2A,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,Marshall,North,IN,41.4412,-86.2768,"Eliason, Norman E.",1938,"also, 133.1",IN002A,attic,
IN2B,LANCS,Male,56; 60,White,Unknown,Farmer,Marshall,Center,IN,41.303,-86.3377,"Thompson, Robert M.",1962; 1964,"also, 133.2; interviewed twice, 3 yrs. apart; former insurance salesman",IN002B,attic,
IN3A,LANCS,Male,73,White,At least some high school,Clerical and sales,Elkhart,Elkhart,IN,41.682,-85.9767,"Motherwell, George",1953,"also, 132.1; insurance agent, also former bookkeeper, milling-tile-coal business, and farmer",IN003A,attic,
IN3B,LANCS,Male,52,White,Between 1 and 8 yrs.,Farmer,Elkhart,Clinton,IN,41.581,-85.7051,"Motherwell, George",1953,"also, 132.2",IN003B,attic,
IN4A,LANCS,Male,82,White,Between 1 and 8 yrs.,Farmer,Warren,Washington,IN,40.268,-87.3314,"Eliason, Norman E.",1938,"also, 137.1",IN004A,"catch all, attic",
IN4B,LANCS,Male,58,White,At least some college or beyond,Professional & technical,Warren,Washington,IN,40.268,-87.3314,"Bender, Byron",1952,"also, 137.3; lawyer",IN004B,attic,
IN5,LANCS,Male,81,White,At least some high school,Farmer,Tippecanoe,Fairfield,IN,40.4494,-86.8421,"McDavid, Raven",1957,"also, 137A.1",IN005,a garret,some others heard
IN6A,LANCS,Male,67,White,Between 1 and 8 yrs.,Operative,Carroll,Delphi,IN,40.5875,-86.675,"Leuschel, Donald",1960,"also, 136.1; railroader",IN006A,attic,
IN6B,LANCS,Female,76,White,At least some high school,Operative,Carroll,Delphi,IN,40.5875,-86.675,"Bender, Byron",1952,"also, 136.2; seamstress",IN006B,"garret, attic",garret -- some calls them; old
IN6C,LANCS,Male,56,White,At least some high school,"Manager, official, or proprietor",Carroll,Delphi,IN,40.5875,-86.675,"Bender, Byron",1952,"also, 136.21; coal company owner, formerly farmer for 3 yrs., WWI veteran",IN006C,attic,
IN7A,LANCS,Male,89,White,Between 1 and 8 yrs.,Farmer,Wabash,Lagro,IN,40.8381,-85.7303,"Eliason, Norman E.",1938,also 135.1,IN007A,garret,
IN7B,LANCS,Male,87,White,Between 1 and 8 yrs.,Farmer,Wabash,Lagro,IN,40.8381,-85.7303,"Eliason, Norman E.",1938,"also, 135.11; incomplete record",IN007B,loft,
IN7C,LANCS,Female,67,White,At least some high school,Farmer's wife,Wabash,Lagro,IN,40.8381,-85.7303,"Bender, Byron",1952,"also, 135.2",IN007C,attic,
IN8A,LANCS,Male,80,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Allen,Jefferson,IN,41.0302,-84.9609,"Motherwell, George",1953,"also, 134.1; gas station operator",IN008A,attic,
IN8B,LANCS,Male,83,White,Between 1 and 8 yrs.,Farmer,Allen,Scipio,IN,41.2351,-84.8255,"Billiard, Charles E.",1968,"Aux. inf. Wife, 77",IN008B,"attic, garret",garret -- I always called it
IN8C,LANCS,Male,65,White,Between 1 and 8 yrs.,Farmer,Allen,Washington,IN,41.13,-85.179,"Billiard, Charles E.",1968,,IN008C,the attic,
IN8D,LANCS,Female,50,White,At least some college or beyond,Farmer's wife,Allen,Jefferson,IN,41.0302,-84.9609,"Motherwell, George",1953,"also, 134.2",IN008D,attic,
IN8E,LANCS,Female,50,White,Between 1 and 8 yrs.,Farmer,Allen,Jefferson,IN,41.0302,-84.9609,"Billiard, Charles E.",1953,,IN008E,"attic, s.t. garret",garret -- M. said
IN9A,LANCS,Female,86,White,Between 1 and 8 yrs.,Unknown,Adams,Decatur,IN,40.8306,-84.9291,"Howren, Robert R.",1954,"also, 138.1",IN009A,loft,
IN9B,LANCS,Male,80,White,Between 1 and 8 yrs.,Farmer,Adams,Washington,IN,40.7865,-84.9193,"Motherwell, George",1953,"also, 138.11; also Chairman of Bank Board",IN009B,attic,
IN9C,LANCS,Female,70,White,Between 1 and 8 yrs.,Keeping house,Adams,Wabash,IN,40.3652,-84.5615,"Bender, Byron",1952,"also, 138.2; ""Dutchified"" speech",IN009C,attic,
IN9D,LANCS,Female,57,White,At least some high school,Keeping house,Adams,Wabash,IN,40.3652,-84.5615,"Bender, Byron",1952,"also, 138.21; incomplete record",IN009D,attic,c. roof
IN10A,LANCS,Male,72,White,Between 1 and 8 yrs.,Farmer,Parke,Adams,IN,39.7214,-87.2021,"Motherwell, George",1953,"also, 142.1",IN010A,attic,
IN10B,LANCS,Male,73,White,At least some high school,Farmer,Parke,Adams,IN,39.7214,-87.2021,"Motherwell, George",1953,"also, 142.2; interviewed together with wife",IN010B,attic,
IN10C,LANCS,Male,77,White,At least some college or beyond,Professional & technical,Parke,Raccoon,IN,39.6379,-87.1622,"Payne, Richard C.",1977,"Attended Purdue, and did some law school at Indiana U; electrical engineer",IN010C,the attic,
IN11A,LANCS,Male,85,White,Between 1 and 8 yrs.,Farmer,Boone,New Brunswick,IN,39.9442,-86.5228,"Thompson, Robert M.",1960,"also, 139.1",IN011A,"attic, sky parlor",agrees to sky parlor
IN11B,LANCS,Male,69,White,At least some high school,Operative,Boone,Jackson,IN,39.9533,-86.641,"Motherwell, George",1953,"also, 139.2; mail carrier",IN011B,attic,
IN12A,LANCS,Male,49,White,At least some high school,Farmer,Marion,Warren,IN,39.7697,-86.0326,"Motherwell, George",1953,"also, 143.1",IN012A,attic,
IN12B,LANCS,Male,80,White,At least some high school,Farmer,Marion,Warren,IN,39.7697,-86.0326,"Thompson, Robert M.",1960,"also, 143.11",IN012B,attic,2568
IN12C,LANCS,Male,45,White,At least some high school,Farmer,Marion,Warren,IN,39.7697,-86.0326,"Motherwell, George",1953,"also, 143.2; also salesman",IN012C,attic,
IN12D,LANCS,Female,~60,White,Unknown,Unknown,Marion,Indianapolis,IN,39.7684,-86.1581,"Dykes, Robert",1953,Incomplete record,IN012D,"attic, loft, s. garret",loft -- in old houses
IN12E,LANCS,Male,35,White,At least some college or beyond,Farmer,Marion,Bridgeport,IN,39.7323,-86.3172,"Motherwell, George",1953,"also, 143.3",IN012E,attic,
IN13A,LANCS,Male,90,White,Between 1 and 8 yrs.,"Manager, official, or proprietor",Madison,Fall Creek,IN,40.006,-85.7462,"Motherwell, George",1953,"also, 140.1; merchant for 31 years, formerly, a farmer",IN013A,NR,
IN13B,LANCS,Male,45,White,At least some high school,Farmer,Madison,Adams,IN,40.0014,-85.6229,"Thompson, Robert M.",1964,"also, 140.2; incomplete record; this and 13C were compiled as single FR by FW but have since been separated",IN013B,attic,
IN13C,LANCS,Female,37,White,At least some college or beyond,Farmer's wife,Madison,Richland,IN,40.1651,-85.6229,"Thompson, Robert M.",1964,see note for previous record; incomplete record,IN013C,NR,
IN13D,LANCS,Female,56,White,Between 1 and 8 yrs.,Keeping house,Madison,Fall Creek,IN,40.006,-85.7462,"Leuschel, Donald",1977,"incomplete record; also, factory worker; a number of folk forms, including vb. Forms",IN013D,NR,
IN13E,LANCS,Male,68,White,At least some college or beyond,"Manager, official, or proprietor",Madison,Elwood,IN,40.277,-85.8419,"Thompson, Robert M.",1961,"Auto and auto insurance businesses, also farmer; incomplete record",IN013E,NR,
IN14A,LANCS,Male,92,White,Between 1 and 8 yrs.,Farmer,Randolph,White River,IN,40.1031,-85.0021,"Eliason, Norman E.",1938,"also, 141.1",IN014A,"loft, garret, attic",attic -- reg.
IN14B,LANCS,Female,59,White,At least some high school,Farmer's wife,Randolph,White River,IN,40.1031,-85.0021,"Bender, Byron",1952,"also, 141.2; also drove Farm Bureau truck 10 yrs.",IN014B,attic,
IN14C,LANCS,Female,75+,White,Unknown,Farmer's wife,Randolph,Farmland,IN,40.1878,-85.1275,"McDavid, Raven",1961,"also, 141.2; incomplete record",IN014C,c. attic,
IN15A,LANCS,Male,65+,White,Between 1 and 8 yrs.,Craftsman or foreman,Vigo,Terre Haute,IN,39.4667,-87.4139,"Carmony, Marvin D. ",1964,"also, 145A.1; automobile mechanic",IN015A,attic,
IN15B,LANCS,Male,41,White,At least some high school,Clerical and sales,Vigo,Terre Haute,IN,39.4667,-87.4139,"Carmony, Marvin D. ",1964,"also, 145A.2; railroad telegrapher, also part-time rural mail carrier",IN015B,attic,
IN15C,LANCS,Male,35,White,At least some college or beyond,"Manager, official, or proprietor",Vigo,Terre Haute,IN,39.4667,-87.4139,"Carmony, Marvin D. ",1964,"also, 145A.3; automobile agency president",IN015C,attic,vls
IN16A,LANCS,Male,65+,White,Between 1 and 8 yrs.,Operative,Clay,Washington,IN,39.3858,-87.0024,"Motherwell, George",1953,"also, 145.1; service station operator, also, former restaurant owner",IN016A,attic,
IN16B,LANCS,Male,86,White,At least some high school,Farmer,Clay,Washington,IN,39.3858,-87.0024,"Motherwell, George",1953,"also, 145.2; supp. inf.: F, 84",IN016B,garret,
IN16C,LANCS,Male,82,White,At least some college or beyond,"Manager, official, or proprietor",Clay,Brazil,IN,39.5237,-87.125,"Carmony, Marvin D. ",1953,Railroad traffic manager,IN016C,"the attic, garret",garret -- old; used to hear locally
IN17A,LANCS,Male,80,White,No formal schooling,Farmer,Monroe,Bloomington,IN,39.1653,-86.5264,"Davis, Alva L.",1956,"also, 147.1; also, timber worker, furniture factory worker",IN017A,attic,
IN17B,LANCS,Female,68,White,Between 1 and 8 yrs.,Keeping house,Monroe,Bloomington,IN,39.1653,-86.5264,"McDavid, Raven",1953,"also, 147.2",IN017B,the loft,
IN18A,LANCS,Male,77,White,Between 1 and 8 yrs.,Farmer,Brown,Nashville,IN,39.2073,-86.247,"Eliason, Norman E.",1938,"also, 148.1; also, clapboard maker",IN018A,NR,
IN18B,LANCS,Female,64,White,Between 1 and 8 yrs.,Keeping house,Brown,Nashville,IN,39.2073,-86.247,"Motherwell, George",1953,"also, 148.2",IN018B,attic,
IN19A,LANCS,Male,80,White,Between 1 and 8 yrs.,Craftsman or foreman,Rush,Milroy,IN,39.4978,-85.4682,"Bender, Byron",1952,"also, 144.1; bricklayer",IN019A,garret,
IN19B,LANCS,Male,65,White,At least some high school,Farmer ,Rush,Milroy,IN,39.4978,-85.4682,"Bender, Byron",1952,"also, 144.2",IN019B,"attics, garret",
IN20A,LANCS,Male,82,White,At least some high school,Clerical and sales,Franklin,Brookville,IN,39.4321,-85.0127,"Bender, Byron",1952,"also, 146.1; hardware dealer; supp. Inf.: M, Farmer, stonecutter, electrician, 79",IN020A,attic,
IN20B,LANCS,Male,65,White,Between 1 and 8 yrs.,Craftsman or foreman,Franklin,Brookville,IN,39.4321,-85.0127,"Bender, Byron",1952,"also, 146.2; tinner, also hardware dealer",IN020B,attic,
IN21A,LANCS,Male,66,White,At least some high school,Service worker,Knox,Steen,IN,38.6853,-87.3215,"Motherwell, George",1953,"also, 150.1; barber, also painter; supp. Inf.: wife, 61",IN021A,garret,
IN21B,LANCS,Female,61,White,Between 1 and 8 yrs.,Keeping house,Knox,Steen,IN,38.6853,-87.3215,"Bender, Byron",1952,"also, 150.2; supp. Inf.: m, retired county superintendent",IN021B,attic,
IN22A,LANCS,Male,77,White,Between 1 and 8 yrs.,Laborer,Gibson,White River,IN,38.4386,-87.5594,"Eliason, Norman E.",1938,"also, 153.1; also, farmer",IN022A,upstairs,
IN22B,LANCS,Female,73,White,At least some high school,Keeping house,Gibson,White River,IN,38.4386,-87.5594,"Bender, Byron",1952,"also, 153.2",IN022B,loft,
IN22C,LANCS,Female,62,White,At least some high school,Keeping house,Gibson,Princeton,IN,38.3553,-87.5675,"Carmony, Marvin D. ",1977,"also, former dental assistant",IN022C,the attic,
IN23A,LANCS,Male,80,White,At least some high school,Farmer,Vanderburgh,Knight,IN,37.5803,-87.2948,"Bender, Byron",1952,"also, 154.1; chicken farmer, also, former dairy worker and producer, coal miner",IN023A,attic,
IN23B,LANCS,Male,42,White,At least some high school,Clerical and sales,Vanderburgh,Knight,IN,37.5803,-87.2948,"McDavid, Raven",1950,"also, 154.2; tire company dealer; supp. Inf.: Wife, 42",IN023B,a attic,
IN24A,LANCS,Female,66,White,At least some high school,Keeping house,Spencer,Rockport,IN,37.8831,-87.0494,"Bender, Byron",1952,"also, 155.1",IN024A,attic,
IN24B,LANCS,Female,76,White,At least some high school,Keeping house,Spencer,Rockport,IN,37.8831,-87.0494,"Bender, Byron",1952,"also, 155.2; also, housalsoher to boys at Masonic Home; supp. Inf.: F, reporter, 73",IN024B,attics,
IN25A,LANCS,Male,79,White,At least some high school,Public servant,Orange,Orleans,IN,38.6617,-86.4517,"Bender, Byron",1952,"also, 151.1; former county commissioner, also, farmer, schoolteacher (for a few years)",IN025A,attic,
IN25B,LANCS,Male,62,White,Between 1 and 8 yrs.,Farmer,Orange,Orleans,IN,38.6617,-86.4517,"Orrick, Allen",1956,"also, 151.11",IN025B,attic,
IN25C,LANCS,Male,80,White,At least some college or beyond,"Manager, official, or proprietor",Orange,Orleans,IN,38.6617,-86.4517,"Motherwell, George",1953,"also, 151.3; hotel manager",IN025C,attic,
IN26A,LANCS,Female,77,White,Between 1 and 8 yrs.,Keeping house,Harrison,Harrison,IN,38.1102,-86.1033,"Bender, Byron",1952,"also, 156.1",IN026A,attic,
IN26B,LANCS,Male,78,White,Between 1 and 8 yrs.,Farmer,Harrison,Boone,IN,38.0612,-86.0733,"Thompson, Robert M.",1960,"also, 156.11; supp. Inf.: wife, 78",IN026B,w. attic,
IN26C,LANCS,Female,65,White,At least some college or beyond,Farmer's wife,Harrison,Harrison,IN,38.1102,-86.1033,"Bender, Byron",1956,"also, 156.3; also reporter for weekly newspaper, retired grade school teacher",IN026C,attic,
IN27A,LANCS,Female,79,White,Between 1 and 8 yrs.,Farmer's wife,Ripley,Shelby,IN,38.9589,-85.3756,"Eliason, Norman E.",1938,"also, 149.1",IN027A,"garret, attic, loft",loft -- if boards laid on ceiling rafters
IN27B,LANCS,Female,60,White,Between 1 and 8 yrs.,Farmer,Dearborn,Caesar Creek,IN,38.9633,-85.1012,"Payne, Richard C.",1952,"supp. Inf.: Housewife, 81",IN027B,attic,
IN27C,LANCS,Female,60,White,At least some high school,Keeping house,Ripley,Shelby,IN,38.9589,-85.3756,"Bender, Byron",1952,"also, 149.2; supp. Infs.: F, 51, housewife, b. here; F. housewife, b. here",IN027C,attic,
IN28A,LANCS,Female,83,White,Between 1 and 8 yrs.,Keeping house,Jefferson,Madison,IN,38.7359,-85.38,"Eliason, Norman E.",1938,"also, 152.1",IN028A,attic,
